year,week,away_team,away_points,home_team,home_points
2011,1,Making Sure You Ain't Last,87.64,Living In a Van By The Rivers,75.22
2011,1,Greatest Show on Turf,121.76,The Real McCoy,133.62
2011,1,Occupy The Endzone,81.64,Maclin on Your Girl,109.26
2011,1,Bro Flacco,121.36,The Arian Brotherhood,95.04
2011,1,lights CAMera action,141.14,Hood niggas,77.56
2011,1,Best in Schaub,98.50,CjCj 30mil,121.66
2011,2,Making Sure You Ain't Last,88.58,lights CAMera action,94.18
2011,2,Occupy The Endzone,71.64,Greatest Show on Turf,134.60
2011,2,The Real McCoy,118.82,Bro Flacco,143.06
2011,2,Maclin on Your Girl,137.08,The Arian Brotherhood,120.50
2011,2,Living In a Van By The Rivers,125.44,Best in Schaub,115.50
2011,2,Hood niggas,106.14,CjCj 30mil,101.04
2011,3,Making Sure You Ain't Last,67.86,Best in Schaub,116.22
2011,3,Greatest Show on Turf,83.62,Bro Flacco,121.16
2011,3,The Arian Brotherhood,118.56,Occupy The Endzone,39.26
2011,3,Maclin on Your Girl,114.06,The Real McCoy,135.30
2011,3,CjCj 30mil,99.50,lights CAMera action,87.26
2011,3,Hood niggas,74.54,Living In a Van By The Rivers,120.40
2011,4,Making Sure You Ain't Last,108.96,CjCj 30mil,109.76
2011,4,The Arian Brotherhood,81.96,Greatest Show on Turf,127.54
2011,4,Bro Flacco,149.30,Maclin on Your Girl,72.52
2011,4,Occupy The Endzone,103.32,The Real McCoy,109.42
2011,4,Best in Schaub,100.82,Hood niggas,92.64
2011,4,lights CAMera action,118.34,Living In a Van By The Rivers,112.32
2011,5,Making Sure You Ain't Last,88.56,Hood niggas,88.66
2011,5,Greatest Show on Turf,68.90,Maclin on Your Girl,75.82
2011,5,The Real McCoy,85.34,The Arian Brotherhood,109.92
2011,5,Occupy The Endzone,99.02,Bro Flacco,111.22
2011,5,Living In a Van By The Rivers,75.80,CjCj 30mil,96.70
2011,5,lights CAMera action,74.82,Best in Schaub,139.16
2011,6,Making Sure You Ain't Last,57.88,Greatest Show on Turf,143.30
2011,6,Living In a Van By The Rivers,42.24,The Real McCoy,111.54
2011,6,lights CAMera action,76.96,Occupy The Endzone,74.90
2011,6,Best in Schaub,101.72,Bro Flacco,105.50
2011,6,CjCj 30mil,68.30,The Arian Brotherhood,97.06
2011,6,Hood niggas,107.60,Maclin on Your Girl,80.94
2011,7,Making Sure You Ain't Last,70.68,The Real McCoy,116.34
2011,7,Occupy The Endzone,99.88,Living In a Van By The Rivers,65.94
