"used_id","name","price","player_id","position","year","owner"
1367,"Trent Richardson",12,2533032,"RB",2014,"Woody"
1277,"Marvin Jones",2,2532884,"WR",2018,"Woody"
1265,"Jarvis Landry",10,2543488,"WR",2018,"Woody"
1249,"DeAndre Hopkins",40,2540165,"WR",2018,"Woody"
1244,"Delanie Walker",5,2495966,"TE",2018,"Woody"
1212,"Derrick Henry",16,2556075,"RB",2018,"Woody"
1206,"Joe Mixon",26,2557976,"RB",2018,"Woody"
1198,"Melvin Gordon",48,2552469,"RB",2018,"Woody"
1193,"Sam Bradford",1,497095,"QB",2018,"Woody"
1180,"Eli Manning",12,2505996,"QB",2018,"Woody"
1170,"Patrick Mahomes",36,2558125,"QB",2018,"Woody"
1138,"Michael Crabtree",7,71269,"WR",2017,"Woody"
1127,"DeAndre Hopkins",18,2540165,"WR",2017,"Woody"
1106,"Jimmy Graham",15,497236,"TE",2017,"Woody"
1089,"Tevin Coleman",5,2552453,"RB",2017,"Woody"
1079,"Terrance West",9,2543664,"RB",2017,"Woody"
1059,"Devonta Freeman",35,2543583,"RB",2017,"Woody"
1046,"Blake Bortles",5,2543477,"QB",2017,"Woody"
1027,"Kirk Cousins",45,2532820,"QB",2017,"Woody"
1022,"Drew Brees",58,2504775,"QB",2017,"Woody"
995,"T.Y. Hilton",17,2532865,"WR",2016,"Woody"
987,"A.J. Green",35,2495450,"WR",2016,"Woody"
975,"Delanie Walker",10,2495966,"TE",2016,"Woody"
957,"DeAngelo Williams",6,2495979,"RB",2016,"Woody"
953,"DeMarco Murray",16,2495207,"RB",2016,"Woody"
949,"Jonathan Stewart",21,949,"RB",2016,"Woody"
935,"Adrian Peterson",56,2507164,"RB",2016,"Woody"
933,"Jimmy Garoppolo",1,2543801,"QB",2016,"Woody"
923,"Ryan Fitzpatrick",14,2506581,"QB",2016,"Woody"
919,"Ryan Tannehill",25,2532956,"QB",2016,"Woody"
895,"Terrance Williams",2,2539205,"WR",2015,"Woody"
888,"Jarvis Landry",8,2543488,"WR",2015,"Woody"
879,"Golden Tate",16,497326,"WR",2015,"Woody"
870,"Demaryius Thomas",37,497328,"WR",2015,"Woody"
867,"Dwayne Allen",1,2533046,"TE",2015,"Woody"
