year,rank,player_name,position
2019,1,DeAndre Hopkins,WR
2019,2,Davante Adams,WR
2019,3,Michael Thomas,WR
2019,4,JuJu Smith-Schuster,WR
2019,5,Julio Jones,WR
2019,6,Tyreek Hill,WR
2019,7,Odell Beckham,WR
2019,8,Mike Evans,WR
2019,9,Keenan Allen,WR
2019,10,Adam Thielen,WR
2019,11,Chris Godwin,WR
2019,12,Amari Cooper,WR
2019,13,Brandin Cooks,WR
2019,14,Stefon Diggs,WR
2019,15,Robert Woods,WR
2019,16,Tyler Lockett,WR
2019,17,Julian Edelman,WR
2019,18,Tyler Boyd,WR
2019,19,T.Y. Hilton,WR
2019,20,Kenny Golladay,WR
2019,21,Mike Williams,WR
2019,22,Allen Robinson,WR
2019,23,Calvin Ridley,WR
2019,24,Cooper Kupp,WR
2019,25,D.J. Moore,WR
2019,26,Robby Anderson,WR
2019,27,Antonio Brown,WR
2019,28,Alshon Jeffery,WR
2019,29,Josh Gordon,WR
2019,30,Dede Westbrook,WR
2019,31,Curtis Samuel,WR
2019,32,Will Fuller,WR
2019,33,Jarvis Landry,WR
2019,34,Christian Kirk,WR
2019,35,Sterling Shepard,WR
2019,36,Larry Fitzgerald,WR
2019,37,Corey Davis,WR
2019,38,Marvin Jones,WR
2019,39,Michael Gallup,WR
2019,40,Sammy Watkins,WR
2019,41,Marquez Valdes-Scantling,WR
2019,42,A.J. Green,WR
2019,43,Donte Moncrief,WR
2019,44,Emmanuel Sanders,WR
2019,45,Dante Pettis,WR
2019,46,Geronimo Allison,WR
2019,47,Jamison Crowder,WR
2019,48,Anthony Miller,WR
2019,49,Courtland Sutton,WR
2019,50,DeSean Jackson,WR
2019,51,Keke Coutee,WR
2019,52,Marquise Goodwin,WR
2019,53,John Brown,WR
2019,54,Tyrell Williams,WR
2019,55,Devin Funchess,WR
2019,56,DaeSean Hamilton,WR
2019,57,Golden Tate,WR
2019,58,Deebo Samuel,WR
2019,59,James Washington,WR
2019,60,DK Metcalf,WR
2019,1,Ezekiel Elliott,RB
2019,2,Saquon Barkley,RB
2019,3,Alvin Kamara,RB
2019,4,Christian McCaffrey,RB
2019,5,Nick Chubb,RB
2019,6,David Johnson,RB
2019,7,James Conner,RB
2019,8,Dalvin Cook,RB
2019,9,Le'Veon Bell,RB
2019,10,Joe Mixon,RB
2019,11,Kerryon Johnson,RB
2019,12,Devonta Freeman,RB
2019,13,Aaron Jones,RB
2019,14,Chris Carson,RB
2019,15,Derrick Henry,RB
2019,16,Leonard Fournette,RB
2019,17,Todd Gurley,RB
2019,18,David Montgomery,RB
2019,19,Marlon Mack,RB
2019,20,Damien Williams,RB
2019,21,Sony Michel,RB
2019,22,Mark Ingram,RB
2019,23,Josh Jacobs,RB
2019,24,Duke Johnson,RB
2019,25,Miles Sanders,RB
2019,26,James White,RB
2019,27,Tevin Coleman,RB
2019,28,Phillip Lindsay,RB
2019,29,Derrius Guice,RB
2019,30,Kenyan Drake,RB
2019,31,Latavius Murray,RB
2019,32,Matt Breida,RB
2019,33,Melvin Gordon,RB
2019,34,Austin Ekeler,RB
2019,35,Devin Singletary,RB
2019,36,Tarik Cohen,RB
2019,37,Royce Freeman,RB
2019,38,Rashaad Penny,RB
2019,39,Darrell Henderson,RB
2019,40,LeSean McCoy,RB
2019,41,Jordan Howard,RB
2019,42,Justin Jackson,RB
2019,43,Justice Hill,RB
2019,44,Dion Lewis,RB
2019,45,Kalen Ballage,RB
2019,46,Peyton Barber,RB
2019,47,Jaylen Samuels,RB
2019,48,Chris Thompson,RB
2019,49,Malcolm Brown,RB
2019,50,Darwin Thompson,RB
2019,51,Nyheim Hines,RB
2019,52,Giovani Bernard,RB
2019,53,Damien Harris,RB
2019,54,Ronald Jones II,RB
2019,55,Adrian Peterson,RB
2019,56,Ito Smith,RB
2019,57,Ty Montgomery,RB
2019,58,Alexander Mattison,RB
2019,59,Tony Pollard,RB
2019,60,Dare Ogunbowale,RB
2019,1,Travis Kelce,TE
2019,2,George Kittle,TE
2019,3,Zach Ertz,TE
2019,4,O.J. Howard,TE
2019,5,Evan Engram,TE
2019,6,Hunter Henry,TE
2019,7,Jared Cook,TE
2019,8,Vance McDonald,TE
2019,9,David Njoku,TE
2019,10,Austin Hooper,TE
2019,11,Mark Andrews,TE
2019,12,Delanie Walker,TE
2019,13,Kyle Rudolph,TE
2019,14,Eric Ebron,TE
2019,15,Trey Burton,TE
2019,16,Darren Waller,TE
2019,17,Greg Olsen,TE
2019,18,Jack Doyle,TE
2019,19,Jordan Reed,TE
2019,20,Jimmy Graham,TE
2019,1,Patrick Mahomes,QB
2019,2,Deshaun Watson,QB
2019,3,Aaron Rodgers,QB
2019,4,Matt Ryan,QB
2019,5,Baker Mayfield,QB
2019,6,Carson Wentz,QB
2019,7,Russell Wilson,QB
2019,8,Cam Newton,QB
2019,9,Lamar Jackson,QB
2019,10,Kyler Murray,QB
2019,11,Jameis Winston,QB
2019,12,Drew Brees,QB
2019,13,Jared Goff,QB
2019,14,Dak Prescott,QB
2019,15,Ben Roethlisberger,QB
2019,16,Philip Rivers,QB
2019,17,Jimmy Garoppolo,QB
2019,18,Mitchell Trubisky,QB
2019,19,Kirk Cousins,QB
2019,20,Tom Brady,QB
2019,21,Josh Allen,QB
2019,22,Sam Darnold,QB
2019,23,Matthew Stafford,QB
2019,24,Jacoby Brissett,QB
2019,25,Derek Carr,QB
2019,26,Andy Dalton,QB
2019,27,Nick Foles,QB
2019,28,Joe Flacco,QB
2019,29,Marcus Mariota,QB
2019,30,Eli Manning,QB
2019,31,Ryan Fitzpatrick,QB
2019,32,Josh Rosen,QB
2019,33,Case Keenum,QB
2019,34,Dwayne Haskins,QB
2019,35,Daniel Jones,QB
2019,36,Ryan Tannehill,QB
2019,37,Taysom Hill,QB
2019,38,Nick Mullens,QB
2020,1,Patrick Mahomes,QB
2020,2,Lamar Jackson,QB
2020,3,Dak Prescott,QB
2020,4,Russell Wilson,QB
2020,5,Kyler Murray,QB
2020,6,Deshaun Watson,QB
2020,7,Josh Allen,QB
2020,8,Matt Ryan,QB
2020,9,Drew Brees,QB
2020,10,Carson Wentz,QB
2020,11,Matthew Stafford,QB
2020,12,Tom Brady,QB
2020,13,Aaron Rodgers,QB
2020,14,Daniel Jones,QB
2020,15,Ben Roethlisberger,QB
2020,16,Cam Newton,QB
2020,17,Baker Mayfield,QB
2020,18,Ryan Tannehill,QB
2020,19,Jared Goff,QB
2020,20,Joe Burrow,QB
2020,21,Kirk Cousins,QB
2020,22,Jimmy Garoppolo,QB
2020,23,Gardner Minshew,QB
2020,24,Philip Rivers,QB
2020,25,Drew Lock,QB
2020,26,Teddy Bridgewater,QB
2020,27,Sam Darnold,QB
2020,28,Derek Carr,QB
2020,29,Dwayne Haskins,QB
2020,30,Tyrod Taylor,QB
2020,31,Ryan Fitzpatrick,QB
2020,32,Nick Foles,QB
2020,33,Tua Tagovailoa,QB
2020,34,Mitchell Trubisky,QB
2020,35,Justin Herbert,QB
2020,36,Jarrett Stidham,QB
2020,37,Jameis Winston,QB
2020,38,Marcus Mariota,QB
2020,39,Taysom Hill,QB
2020,40,Andy Dalton,QB
2020,1,Christian McCaffrey,RB
2020,2,Saquon Barkley,RB
2020,3,Ezekiel Elliott,RB
2020,4,Alvin Kamara,RB
