profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2500150,1995,15,214,433,2717,14,19,42,74,3,0,0,0,7
2500150,1996,13,204,364,2454,14,9,32,38,0,0,0,0,4
2502377,1996,16,0,0,0,0,0,0,0,0,520,35,4,1
2500150,1997,13,200,381,2124,11,21,26,65,1,0,0,0,4
2500835,1997,16,0,0,0,0,0,0,0,0,368,33,2,0
2501898,1997,16,0,0,0,0,0,1,-7,0,186,14,0,4
2502377,1997,16,0,0,0,0,0,0,0,0,936,60,8,0
2500150,1998,11,170,353,2213,12,15,30,153,1,0,0,0,6
2500835,1998,16,0,0,0,0,0,0,0,0,621,59,2,1
2501863,1998,16,326,575,3739,26,28,15,62,0,0,0,0,1
2501898,1998,16,0,0,0,0,0,0,0,0,333,25,3,0
2502220,1998,16,0,0,0,0,0,1,4,0,1313,69,17,1
2502377,1998,16,0,0,0,0,0,4,53,1,1097,67,14,1
2503532,1998,16,0,0,0,0,0,1,13,0,246,15,0,0
2500150,1999,10,190,331,2318,8,11,19,36,2,0,0,0,6
2500835,1999,15,0,0,0,0,0,0,0,0,849,76,11,1
2501078,1999,16,3,10,41,1,0,6,15,0,0,0,0,0
2501863,1999,16,331,533,4135,26,15,35,73,2,0,0,0,3
2501898,1999,13,0,0,0,0,0,0,0,0,89,8,0,0
2502044,1999,12,106,216,948,8,7,47,313,0,0,0,0,6
2502220,1999,16,0,0,0,0,0,4,43,0,1413,80,11,3
2502377,1999,14,0,0,0,0,0,0,0,0,754,60,4,1
2503532,1999,16,0,0,0,0,0,2,-2,0,638,61,7,0
2503715,1999,12,0,0,0,0,0,253,884,2,172,0,188,3
2500150,2000,16,311,529,3610,22,13,41,65,1,0,0,0,2
2500835,2000,16,0,0,0,0,0,0,0,0,1203,93,9,0
2501078,2000,16,10,19,104,1,0,4,-5,0,0,0,0,0
2501863,2000,16,357,571,4413,33,15,37,116,1,0,0,0,2
2501898,2000,16,0,0,0,0,0,1,1,0,895,63,5,0
2502044,2000,16,330,569,3365,21,13,86,629,6,0,0,0,4
2502220,2000,16,0,0,0,0,0,3,5,0,1437,77,15,0
2502377,2000,14,0,0,0,0,0,3,11,0,1451,97,13,2
2503532,2000,16,0,0,0,0,0,4,53,0,672,48,4,0
2503715,2000,10,0,0,0,0,0,248,1000,8,409,1,168,3
2504211,2000,1,1,3,6,0,0,0,0,0,0,0,0,0
2504252,2000,14,0,0,0,0,0,112,373,2,208,0,148,3
2504253,2000,12,0,0,0,0,0,0,0,0,273,22,0,1
2500150,2001,16,327,568,3764,19,16,39,73,0,0,0,0,6
2500835,2001,16,0,0,0,0,0,1,9,0,917,73,6,0
2501078,2001,13,176,321,2023,7,8,40,141,0,0,0,0,2
2501863,2001,16,343,547,4131,26,23,35,157,4,0,0,0,3
2501898,2001,15,0,0,0,0,0,0,0,0,1128,73,9,1
2502044,2001,16,285,493,3233,25,12,82,482,2,0,0,0,3
2502220,2001,16,0,0,0,0,0,3,38,0,1233,82,10,0
2502377,2001,16,0,0,0,0,0,4,21,0,1412,93,16,0
2503532,2001,16,0,0,0,0,0,10,83,0,1003,94,4,1
2503715,2001,16,0,0,0,0,0,313,1245,6,511,1,276,6
2504211,2001,15,264,413,2843,18,12,36,43,0,0,0,0,3
2504252,2001,16,0,0,0,0,0,112,380,5,151,0,135,1
2504253,2001,16,0,0,0,0,0,0,0,0,1008,66,6,0
2504531,2001,8,50,113,785,2,3,31,289,1,0,0,0,5
2504566,2001,1,10,14,143,2,1,0,0,0,0,0,0,0
2504595,2001,15,0,0,0,0,0,4,43,0,154,10,0,3
2504651,2001,12,0,0,0,0,0,0,0,0,329,28,1,0
2504743,2001,5,0,0,0,0,0,1,-6,0,40,2,0,0
2504747,2001,13,0,0,0,0,0,0,0,0,345,27,0,0
2504775,2001,1,15,27,221,1,0,2,18,0,0,0,0,0
2504778,2001,16,0,0,0,0,0,339,1236,10,367,0,293,5
2500150,2002,16,335,545,4073,19,14,44,-3,0,0,0,0,1
2500835,2002,16,0,0,0,0,0,0,0,0,773,63,7,0
2501078,2002,16,267,419,3075,15,10,40,202,1,0,0,0,4
2501863,2002,16,392,591,4200,27,19,38,148,2,0,0,0,2
