player_name,price,owner_name
Jameis Winston,$37 ,jordan
Drew Brees,$41 ,jordan
Melvin Gordon,$15 ,jordan
Damien Williams,$16 ,jordan
Julio Jones,$39 ,jordan
DeSean Jackson,$3 ,jordan
Vance McDonald,$1 ,jordan
Robbie Gould,$1 ,jordan
LA Chargers D/ST,$1 ,jordan
Cam Newton,$40 ,jordan
LeSean McCoy,$4 ,jordan
Delanie Walker,$1 ,jordan
John Brown,$1 ,jordan
Ben Roethlisberger,$34 ,Daniel
Ryan Fitzpatrick,$1 ,Daniel
Saquon Barkley,$63 ,Daniel
Christian McCaffery,$57 ,Daniel
Antonio Brown,$26 ,Daniel
Kenny Golladay,$7 ,Daniel
Derrius Guice,$6 ,Daniel
Curtis Samuel,$1 ,Daniel
Devin Singletary,$3 ,Daniel
Eli Manning,$1 ,Daniel
Josh Rosen,$1 ,Daniel
Deshaun Watson,$58 ,Kevin
Kyler Murray,$31 ,Kevin
Leonard Fournette,$27 ,Kevin
Chris Carson,$19 ,Kevin
A.J. Green,$11 ,Kevin
Chris Godwin,$10 ,Kevin
Austin Hooper,$1 ,Kevin
Greg Zuerlein,$2 ,Kevin
Chicago D/ST,$5 ,Kevin
Marcus Mariota,$6 ,Kevin
Derrick Henry,$15 ,Kevin
Tevin Coleman,$7 ,Kevin
Calvin Ridley,$5 ,Kevin
Alshon Jeffery,$3 ,Kevin
Aaron Rodgers,$61 ,joe
Jimmy Garrappolo,$16 ,joe
Nick Chubb,$37 ,joe
Josh Jacobs,$19 ,joe
Robert Woods,$13 ,joe
Amari Cooper,$14 ,joe
O.J. Howard,$9 ,joe
Will Fuller,$2 ,joe
Julian Edelman,$11 ,joe
Duke Johnson,$5 ,joe
D.J. Moore,$5 ,joe
Allen Robinson,$4 ,joe
Latavius Murray,$3 ,joe
Dwayne Haskins,$1 ,joe
Jared Goff,$36 ,Brock
Josh Allen,$21 ,Brock
Dalvin Cook,$39 ,Brock
Jordan Howard,$2 ,Brock
Mike Williams,$6 ,Brock
Tyler Lockett,$12 ,Brock
Jared Cook,$2 ,Brock
Ravens D/ST,$3 ,Brock
Davante Adams,$40 ,Brock
Tyreek Hill,$33 ,Brock
Joe Flacco,$3 ,Brock
Matt Breida,$1 ,Brock
Daniel Jones,$1 ,Brock
Rashaad Penny,$1 ,Brock
Andy Dalton,$6 ,Brandon
Matt Ryan,$51 ,Brandon
David Johnson,$43 ,Brandon
James Conner,$46 ,Brandon
Brandin Cooks,$16 ,Brandon
Josh Gordon,$10 ,Brandon
Matthew Stafford,$11 ,Brandon
James White,$10 ,Brandon
Jarvis Landry,$5 ,Brandon
Kenyan Drake,$2 ,Brandon
Mitchell Trubisky,$24 ,Michael
Dak Prescott,$30 ,Michael
Ezekiel Elliott,$49 ,Michael
Le'Veon Bell,$39 ,Michael
Cooper Kupp,$8 ,Michael
Stefon Diggs,$19 ,Michael
Hunter Henry,$6 ,Michael
Justin Tucker,$3 ,Michael
Minnesota D/ST,$1 ,Michael
Nick Foles,$9 ,Michael
Tarik Cohen,$4 ,Michael
Christian Kirk,$1 ,Michael
Dion Lewis,$1 ,Michael
David Njoku,$3 ,Michael
Michael Gallup,$3 ,Michael
Russell Wilson,$43 ,Jeremy
Philip Rivers,$27 ,Jeremy
Sony Michel,$9 ,Jeremy
Philip Lindsey,$10 ,Jeremy
DeAndre Hopkins,$46 ,Jeremy
Odell Beckham,$35 ,Jeremy
Zach Ertz,$21 ,Jeremy
Jacksonville D/ST,$1 ,Jeremy
Tyler Boyd,$5 ,Jeremy
Case Keenum,$1 ,Jeremy
Sammy Watkins,$1 ,Jeremy
Peyton Barber,$1 ,Jeremy
Patrick Mahomes,$67 ,Keenan
Lamar Jackson,$32 ,Keenan
David Montgomery,$15 ,Keenan
Aaron Jones,$23 ,Keenan
Adam Thielen,$20 ,Keenan
Keenan Allen,$23 ,Keenan
George Kittle,$20 ,Keenan
Carson Wentz,$47 ,Dag
Jacoby Brissett,$8 ,Dag
Devonta Freeman,$24 ,Dag
Kerryon Johnson,$25 ,Dag
Mike Evans,$31 ,Dag
Pittsburgh D/ST,$1 ,Dag
Travis Kelce,$34 ,Dag
Harrison Butker,$1 ,Dag
Mark Ingram,$12 ,Dag
Emmanuel Sanders,$3 ,Dag
Miles Sanders,$8 ,Dag
Royce Freeman,$3 ,Dag
Robby Anderson,$2 ,Dag
Baker Mayfield,$45 ,Woody
Kirk Cousins,$25 ,Woody
Alvin Kamara,$58 ,Woody
Joe Mixon,$33 ,Woody
Dede Westbrook,$4 ,Woody
Juju Smith-Shuster,$35 ,Woody
Tom Brady,$33 ,Dennis
Sam Darnold,$14 ,Dennis
Todd Gurley,$38 ,Dennis
Adrian Peterson,$1 ,Dennis
Michael Thomas,$37 ,Dennis
T.Y. Hilton,$15 ,Dennis
Evan Engram,$12 ,Dennis
Aldrick Rosas,$1 ,Dennis
LA Rams D/ST,$3 ,Dennis
Derek Carr,$8 ,Dennis
Marlon Mack,$14 ,Dennis
Derrell Henderson,$1 ,Dennis
Austin Ekeler,$6 ,Dennis
Dante Pettis,$2 ,Dennis
Sterling Shephard,$1 ,Dennis
