"id","name","profile_id","birthdate","picture_id"
1,Dwayne Haskins,2562660,"5/3/1997",HAS285847
2,Miles Sanders,2562722,"5/1/1997",SAN153567
3,Darrell Henderson,2562574,"8/19/1997","HEN054456"
4,David Montgomery,2562502,"6/7/1997","MON487374"
5,Christian Kirk,2560781,"11/18/1996","KIR257918"
6,Daniel Jones,2562299,"5/27/1997","JON165462"
7,Josh Jacobs,2562377,"2/11/1998","JAC734615"
9,Devin Singletary,2562734,"9/3/1997","SIN186919"
10,Kyler Murray,2562382,"8/7/1997","MUR670413"
11,Michael Gallup,2560735,"3/4/1996","GAL779981"
