pick,price,owner_name,player_name
-,37,jordan,Jameis Winston
-,41,jordan,Drew Brees
-,15,jordan,Melvin Gordon
-,16,jordan,Damien Williams
-,39,jordan,Julio Jones
-,3,jordan,DeSean Jackson
-,1,jordan,Vance McDonald
-,1,jordan,Robbie Gould
-,1,jordan,LA Chargers
-,40,jordan,Cam Newton
-,4,jordan,LeSean McCoy
-,1,jordan,Delanie Walker
-,1,jordan,John Brown
-,34,Daniel,Ben Roethlisberger
-,1,Daniel,Ryan Fitzpatrick
-,63,Daniel,Saquon Barkley
-,57,Daniel,Christian McCaffrey
-,26,Daniel,Antonio Brown
-,7,Daniel,Kenny Golladay
-,6,Daniel,Derrius Guice
-,1,Daniel,Curtis Samuel
-,3,Daniel,Devin Singletary
-,1,Daniel,Eli Manning
-,1,Daniel,Josh Rosen
-,58,Kevin,Deshaun Watson
-,31,Kevin,Kyler Murray
-,27,Kevin,Leonard Fournette
-,19,Kevin,Chris Carson
-,11,Kevin,A.J. Green
-,10,Kevin,Chris Godwin
-,1,Kevin,Austin Hooper
-,2,Kevin,Greg Zuerlein
-,5,Kevin,Chicago
-,6,Kevin,Marcus Mariota
-,15,Kevin,Derrick Henry
-,7,Kevin,Tevin Coleman
-,5,Kevin,Calvin Ridley
-,3,Kevin,Alshon Jeffery
-,61,joe,Aaron Rodgers
-,16,joe,Jimmy Garoppolo
-,37,joe,Nick Chubb
-,19,joe,Josh Jacobs
-,13,joe,Robert Woods
-,14,joe,Amari Cooper
-,9,joe,O.J. Howard
-,2,joe,Will Fuller
-,11,joe,Julian Edelman
-,5,joe,Duke Johnson
-,5,joe,D.J. Moore
-,4,joe,Allen Robinson
-,3,joe,Latavius Murray
-,1,joe,Dwayne Haskins
-,36,Brock,Jared Goff
-,21,Brock,Josh Allen
-,39,Brock,Dalvin Cook
-,2,Brock,Jordan Howard
-,6,Brock,Mike Williams
-,12,Brock,Tyler Lockett
-,2,Brock,Jared Cook
-,3,Brock,Ravens
-,40,Brock,Davante Adams
-,33,Brock,Tyreek Hill
-,3,Brock,Joe Flacco
-,1,Brock,Matt Breida
-,1,Brock,Daniel Jones
-,1,Brock,Rashaad Penny
-,6,Brandon,Andy Dalton
-,51,Brandon,Matt Ryan
-,43,Brandon,David Johnson
-,46,Brandon,James Conner
-,16,Brandon,Brandin Cooks
-,10,Brandon,Josh Gordon
-,11,Brandon,Matthew Stafford
-,10,Brandon,James White
-,5,Brandon,Jarvis Landry
-,2,Brandon,Kenyan Drake
-,24,Michael,Mitchell Trubisky
-,30,Michael,Dak Prescott
-,49,Michael,Ezekiel Elliott
-,39,Michael,Le'Veon Bell
-,8,Michael,Cooper Kupp
-,19,Michael,Stefon Diggs
-,6,Michael,Hunter Henry
-,3,Michael,Justin Tucker
-,1,Michael,Minnesota
-,9,Michael,Nick Foles
-,4,Michael,Tarik Cohen
-,1,Michael,Christian Kirk
-,1,Michael,Dion Lewis
-,3,Michael,David Njoku
-,3,Michael,Michael Gallup
-,43,Jeremy,Russell Wilson
-,27,Jeremy,Philip Rivers
-,9,Jeremy,Sony Michel
-,10,Jeremy,Philip Lindsay
-,46,Jeremy,DeAndre Hopkins
-,35,Jeremy,Odell Beckham
-,21,Jeremy,Zach Ertz
-,1,Jeremy,Jacksonville
-,5,Jeremy,Tyler Boyd
-,1,Jeremy,Case Keenum
-,1,Jeremy,Sammy Watkins
-,1,Jeremy,Peyton Barber
-,67,Keenan,Patrick Mahomes
-,32,Keenan,Lamar Jackson
-,15,Keenan,David Montgomery
-,23,Keenan,Aaron Jones
-,20,Keenan,Adam Thielen
-,23,Keenan,Keenan Allen
-,20,Keenan,George Kittle
-,47,Dag,Carson Wentz
-,8,Dag,Jacoby Brissett
-,24,Dag,Devonta Freeman
-,25,Dag,Kerryon Johnson
-,31,Dag,Mike Evans
-,1,Dag,Pittsburgh
-,34,Dag,Travis Kelce
-,1,Dag,Harrison Butker
-,12,Dag,Mark Ingram
-,3,Dag,Emmanuel Sanders
-,8,Dag,Miles Sanders
-,3,Dag,Royce Freeman
-,2,Dag,Robby Anderson
-,45,Woody,Baker Mayfield
-,25,Woody,Kirk Cousins
-,58,Woody,Alvin Kamara
-,33,Woody,Joe Mixon
-,4,Woody,Dede Westbrook
-,35,Woody,JuJu Smith-Schuster
-,33,Dennis,Tom Brady
-,14,Dennis,Sam Darnold
-,38,Dennis,Todd Gurley
-,1,Dennis,Adrian Peterson
-,37,Dennis,Michael Thomas
-,15,Dennis,T.Y. Hilton
-,12,Dennis,Evan Engram
-,1,Dennis,Aldrick Rosas
-,3,Dennis,LA Rams
-,8,Dennis,Derek Carr
-,14,Dennis,Marlon Mack
-,1,Dennis,Derrell Henderson
-,6,Dennis,Austin Ekeler
-,2,Dennis,Dante Pettis
-,1,Dennis,Sterling Shepard
