pick,owner_name,price,player name,player_id,position
-,Michael,51,Aaron Rodgers,2506363,QB
-,Michael,61,Christian McCaffrey,2557997,RB
-,Michael,9,Raheem Mostert,2553728,RB
-,Michael,44,Davante Adams,2543495,WR
-,Michael,3,Ja'Marr Chase,2565941,WR
-,Michael,1,Curtis Samuel,2558066,WR
-,Michael,13,Kyle Pitts,2565830,TE
-,Michael,11,Sam Darnold,2561036,QB
-,Michael,2,Michael Carter,2566382,RB
-,Michael,1,Tampa Bay Defense,100031,DEF
-,Michael,4,Jared Goff,2555334,QB
-,Dennis,41,Justin Herbert,2565045,QB
-,Dennis,52,Derrick Henry,2556075,RB
-,Dennis,45,Saquon Barkley,2560968,RB
-,Dennis,12,Chris Godwin,2558105,WR
-,Dennis,12,Adam Thielen,2541785,WR
-,Dennis,1,Bryan Edwards,2564418,WR
-,Dennis,15,Mark Andrews,2560957,TE
-,Dennis,7,Daniel Jones,2562299,QB
-,Dennis,9,Mac Jones,2566334,QB
-,Dennis,3,D.J. Chark,2561018,WR
-,Dennis,3,Phillip Lindsay,2559947,RB
-,Keenan,56,Josh Allen,2560955,QB
-,Keenan,26,David Montgomery,2562502,RB
-,Keenan,13,Myles Gaskin,2562270,RB
-,Keenan,17,CeeDee Lamb,2563848,WR
-,Keenan,26,Justin Jefferson,2564556,WR
-,Keenan,27,D.K. Metcalf,2562685,WR
-,Keenan,1,Robert Tonyan Jr.,2559270,TE
-,Keenan,14,Baker Mayfield,2560800,QB
-,Keenan,4,Marquise Brown,2562379,WR
-,Keenan,1,Jason Sanders,2561153,K
-,Keenan,1,David Johnson,2553435,RB
-,Keenan,3,JuJu Smith-Schuster,2558149,WR
-,Keenan,3,Jimmy Garoppolo,2543801,QB
-,Keenan,2,Jamaal Williams,2558204,RB
-,Keenan,5,Antonio Brown,2508061,WR
-,Keenan,1,DeVante Parker,2552409,WR
-,Jeremy,34,Tom Brady,2504211,QB
-,Jeremy,22,D'Andre Swift,2563965,RB
-,Jeremy,4,Melvin Gordon,2552469,RB
-,Jeremy,36,Calvin Ridley,2560854,WR
-,Jeremy,34,DeAndre Hopkins,2540165,WR
-,Jeremy,7,Kenny Golladay,2558052,WR
-,Jeremy,25,Darren Waller,2552408,TE
-,Jeremy,15,Ben Roethlisberger,2506109,QB
-,Jeremy,3,Brandin Cooks,2543498,WR
-,Jeremy,3,LA Rams Defense,100017,DEF
-,Jeremy,1,Harrison Butker,2558245,K
-,Jeremy,9,Derek Carr,2543499,QB
-,Jeremy,3,James Conner,2557978,RB
-,Jeremy,1,Jarvis Landry,2543488,WR
-,Jeremy,1,Tevin Coleman,2552453,RB
-,Jeremy,1,Marvin Jones,2532884,WR
-,Jeremy,1,J.D. McKissic,2556440,RB
-,Daniel,21,Joe Burrow,2563722,QB
-,Daniel,39,Austin Ekeler,2559169,RB
-,Daniel,31,Antonio Gibson,2565276,RB
-,Daniel,36,Stefon Diggs,2552608,WR
-,Daniel,12,Cooper Kupp,2557898,WR
-,Daniel,3,Robby Anderson,2556462,WR
-,Daniel,1,Tyler Higbee,2555364,TE
-,Daniel,5,Justin Fields,2565920,QB
-,Daniel,11,Darrell Henderson,2562574,RB
-,Daniel,3,Pittsburgh Defense,100027,DEF
-,Daniel,7,Kareem Hunt,2557917,RB
-,Daniel,6,Trey Sermon,2566544,RB
-,Daniel,8,Trey Lance,2566532,QB
-,Daniel,6,Tyler Boyd,2555466,WR
-,Daniel,9,Brandon Aiyuk,2565093,WR
-,Daniel,1,San Francisco Defense,100029,DEF
-,Daniel,1,Tyrod Taylor,2495240,QB
-,Dag,46,Dak Prescott,2555260,QB
-,Dag,56,Alvin Kamara,2558019,RB
-,Dag,20,Terry McLaurin,2562489,WR
-,Dag,13,Julio Jones,2495454,WR
-,Dag,19,Amari Cooper,2552487,WR
-,Dag,30,Travis Kelce,2540258,TE
-,Dag,2,Deshaun Watson,2558063,QB
-,Dag,14,Ryan Fitzpatrick,2506581,QB
-,Brock,15,Tua Tagovailoa,2564499,QB
-,Brock,33,Nick Chubb,2561021,RB
-,Brock,16,Mike Davis,2553439,RB
-,Brock,15,Robert Woods,2540169,WR
-,Brock,20,Allen Robinson,2543509,WR
-,Brock,12,D.J. Moore,2560813,WR
-,Brock,7,Logan Thomas,2543767,TE
-,Brock,13,Kirk Cousins,2532820,QB
-,Brock,30,Jonathan Taylor,2564148,RB
-,Brock,1,Denver Defense,100009,DEF
-,Brock,20,Trevor Lawrence,2566163,QB
-,Brock,6,Damien Harris,2562281,RB
-,Brock,4,Zack Moss,2563617,RB
-,Brock,3,Will Fuller,2555346,WR
-,Brock,1,Kenyan Drake,2555230,RB
-,Brock,4,Mike Williams,2558846,WR
-,Woody,55,Kyler Murray,2562382,QB
-,Woody,27,Chris Carson,2558865,RB
-,Woody,34,Joe Mixon,2557976,RB
-,Woody,25,A.J. Brown,2562238,WR
-,Woody,12,Diontae Johnson,2562674,WR
-,Woody,5,DeVonta Smith,2566409,WR
-,Woody,1,Jonnu Smith,2558207,TE
-,Woody,36,Ryan Tannehill,2532956,QB
-,Woody,1,Deebo Samuel,2562721,WR
-,Woody,4,Teddy Bridgewater,2543465,QB
-,joe,31,Matthew Stafford,79860,QB
-,joe,55,Dalvin Cook,2557991,RB
-,joe,17,Josh Jacobs,2562377,RB
-,joe,5,Tee Higgins,2563731,WR
-,joe,22,Keenan Allen,2540154,WR
-,joe,62,Pat Mahomes,2558125,QB
-,joe,8,Ronald Jones II,2560770,RB
-,Kevin,55,Lamar Jackson,2560757,QB
-,Kevin,50,Ezekiel Elliott,2555224,RB
-,Kevin,16,Miles Sanders,2562722,RB
-,Kevin,3,Jerry Jeudy,2563896,WR
-,Kevin,2,Jaylen Waddle,2566292,WR
-,Kevin,4,Courtland Sutton,2560888,WR
-,Kevin,12,T.J. Hockenson,2562378,TE
-,Kevin,31,Jalen Hurts,2564832,QB
-,Kevin,8,Javonte Williams,2566049,RB
-,Kevin,2,Baltimore Defense,100002,DEF
-,Kevin,11,Chase Edmonds,2560711,RB
-,Kevin,1,Tony Pollard,2562699,RB
