year,rank,name,position,player_id,bye_week
2022,1,Josh Allen,QB,2560955,7
2022,2,Justin Herbert,QB,2565045,8
2022,3,Patrick Mahomes II,QB,2558125,8
2022,4,Lamar Jackson,QB,2560757,10
2022,5,Kyler Murray,QB,2562382,13
2022,6,Jalen Hurts,QB,2564832,7
2022,7,Joe Burrow,QB,2563722,10
2022,8,Tom Brady,QB,2504211,11
2022,9,Russell Wilson,QB,2532975,9
2022,10,Dak Prescott,QB,2555260,9
2022,11,Trey Lance,QB,2566532,9
2022,12,Matthew Stafford,QB,79860,7
2022,13,Aaron Rodgers,QB,2506363,14
2022,14,Kirk Cousins,QB,2532820,7
2022,15,Derek Carr,QB,2543499,6
2022,16,Tua Tagovailoa,QB,2564499,11
2022,17,Justin Fields,QB,2565920,14
2022,18,Trevor Lawrence,QB,2566163,11
2022,19,Jameis Winston,QB,2552033,14
2022,20,Matt Ryan,QB,310,14
2022,21,Ryan Tannehill,QB,2532956,6
2022,22,Daniel Jones,QB,2562299,9
2022,23,Mac Jones,QB,2566334,10
2022,24,Carson Wentz,QB,2555259,14
2022,25,Jared Goff,QB,2555334,6
2022,26,Zach Wilson,QB,2566391,10
2022,27,Baker Mayfield,QB,2560800,13
2022,28,Davis Mills,QB,2566136,6
2022,29,Marcus Mariota,QB,2552466,14
2022,30,Mitch Trubisky,QB,2558008,9
2022,31,Deshaun Watson,QB,2558063,9
2022,32,Drew Lock,QB,2562305,11
2022,33,Kenny Pickett,QB,2568162,9
2022,34,Jimmy Garoppolo,QB,2543801,9
2022,35,Sam Darnold,QB,2561036,13
2022,36,Jacoby Brissett,QB,2555261,9
2022,37,Geno Smith,QB,2539335,11
2022,38,Desmond Ridder,QB,2567256,14
2022,39,Malik Willis,QB,2567667,6
2022,40,Teddy Bridgewater,QB,2543465,11
2022,41,Taysom Hill,QB,2558954,14
2022,42,Tyrod Taylor,QB,2495240,9
2022,43,Matt Corral,QB,2567349,13
2022,44,Gardner Minshew II,QB,2562796,7
2022,45,Tyler Huntley,QB,2563560,10
2022,46,Sam Howell,QB,2568333,14
2022,47,Andy Dalton,QB,2495143,14
2022,48,Taylor Heinicke,QB,2553656,14
2022,49,Jordan Love,QB,2564007,14
2022,50,Joe Flacco,QB,382,10
2022,1,Jonathan Taylor,RB,2564148,14
2022,2,Christian McCaffrey,RB,2557997,13
2022,3,Austin Ekeler,RB,2559169,8
2022,4,Dalvin Cook,RB,2557991,7
2022,5,Derrick Henry,RB,2556075,6
2022,6,Najee Harris,RB,2566448,9
2022,7,Joe Mixon,RB,2557976,10
2022,8,D'Andre Swift,RB,2563965,6
2022,9,Saquon Barkley,RB,2560968,9
2022,10,Alvin Kamara,RB,2558019,14
2022,11,Aaron Jones,RB,2558116,14
2022,12,Nick Chubb,RB,2561021,9
2022,13,Leonard Fournette,RB,2557973,11
2022,14,Javonte Williams,RB,2566049,9
2022,15,James Conner,RB,2557978,13
2022,16,Ezekiel Elliott,RB,2555224,9
2022,17,Breece Hall,RB,2568030,10
2022,18,Cam Akers,RB,2564319,7
2022,19,David Montgomery,RB,2562502,14
2022,20,Travis Etienne Jr.,RB,2566157,11
2022,21,Elijah Mitchell,RB,2566538,9
2022,22,J.K. Dobbins,RB,2563548,10
2022,23,AJ Dillon,RB,2563986,14
2022,24,Josh Jacobs,RB,2562377,6
2022,25,Antonio Gibson,RB,2565276,14
2022,26,Damien Harris,RB,2562281,10
2022,27,Miles Sanders,RB,2562722,7
2022,28,Clyde Edwards-Helaire,RB,2564271,8
2022,29,Chase Edmonds,RB,2560711,11
2022,30,Rashaad Penny,RB,2560835,11
2022,31,Kareem Hunt,RB,2557917,9
2022,32,Tony Pollard,RB,2562699,9
2022,33,Rhamondre Stevenson,RB,2566343,10
2022,34,Devin Singletary,RB,2562734,7
2022,35,Cordarrelle Patterson,RB,2540145,14
2022,36,Melvin Gordon III,RB,2552469,9
2022,37,Ken Walker III,RB,2568282,11
2022,38,James Cook,RB,2567328,7
2022,39,Dameon Pierce,RB,2567685,6
2022,40,Michael Carter,RB,2566382,10
2022,41,Darrell Henderson Jr.,RB,2562574,7
2022,42,James Robinson,RB,2564223,11
2022,43,Alexander Mattison,RB,2562682,7
2022,44,Nyheim Hines,RB,2560742,14
2022,45,Kenneth Gainwell,RB,2566397,7
2022,46,J.D. McKissic,RB,2556440,14
2022,47,Jamaal Williams,RB,2558204,6
2022,48,Khalil Herbert,RB,2565926,14
2022,49,Isaiah Spiller,RB,2568189,8
2022,50,Raheem Mostert,RB,2553728,11
2022,51,Tyler Allgeier,RB,2567232,14
2022,52,Brian Robinson Jr.,RB,2568348,14
2022,53,Gus Edwards,RB,2561324,10
2022,54,Rachaad White,RB,2568315,11
2022,55,Mark Ingram II,RB,2495466,14
2022,56,Marlon Mack,RB,2558123,6
2022,57,Ronald Jones II,RB,2560770,8
2022,58,D'Onta Foreman,RB,2557994,13
2022,59,Darrel Williams,RB,2560935,13
2022,60,Sony Michel,RB,2560809,11
2022,61,Zamir White,RB,2567883,6
2022,62,Kenyan Drake,RB,2555230,6
2022,63,Boston Scott,RB,2561146,7
2022,64,Chuba Hubbard,RB,2565899,13
2022,65,Samaje Perine,RB,2558138,10
2022,66,Damien Williams,RB,2550512,14
2022,67,Tyrion Davis-Price,RB,2568207,9
2022,68,D'Ernest Johnson,RB,2563327,9
2022,69,Trey Sermon,RB,2566544,9
2022,70,Jerick McKinnon,RB,2543715,8
2022,1,Justin Jefferson,WR,2564556,7
2022,2,Cooper Kupp,WR,2557898,7
2022,3,Ja'Marr Chase,WR,2565941,10
2022,4,Stefon Diggs,WR,2552608,7
2022,5,Davante Adams,WR,2543495,6
2022,6,CeeDee Lamb,WR,2563848,9
2022,7,Deebo Samuel,WR,2562721,9
2022,8,Mike Evans,WR,2543468,11
2022,9,Tyreek Hill,WR,2556214,11
2022,10,A.J. Brown,WR,2562238,7
2022,11,Keenan Allen,WR,2540154,8
2022,12,Tee Higgins,WR,2563731,10
2022,13,Michael Pittman Jr.,WR,2564136,14
2022,14,DJ Moore,WR,2560813,13
2022,15,Diontae Johnson,WR,2562674,9
2022,16,Jaylen Waddle,WR,2566292,11
2022,17,Mike Williams,WR,2558846,8
2022,18,Courtland Sutton,WR,2560888,9
2022,19,Terry McLaurin,WR,2562489,14
2022,20,Brandin Cooks,WR,2543498,6
2022,21,DK Metcalf,WR,2562685,11
2022,22,Allen Robinson II,WR,2543509,7
2022,23,Marquise Brown,WR,2562379,13
2022,24,Darnell Mooney,WR,2563707,14
2022,25,Jerry Jeudy,WR,2563896,9
2022,26,Michael Thomas,WR,2556370,14
2022,27,Amari Cooper,WR,2552487,9
2022,28,Rashod Bateman,WR,2565836,10
2022,29,Chris Godwin,WR,2558105,11
2022,30,Gabriel Davis,WR,2563602,7
2022,31,Amon-Ra St. Brown,WR,2566073,6
2022,32,JuJu Smith-Schuster,WR,2558149,8
2022,33,Elijah Moore,WR,2566385,10
2022,34,Adam Thielen,WR,2541785,7
2022,35,Brandon Aiyuk,WR,2565093,9
2022,36,DeVonta Smith,WR,2566409,7
2022,37,Drake London,WR,2567250,14
2022,38,Hunter Renfrow,WR,2562712,6
2022,39,Tyler Lockett,WR,2552430,11
2022,40,Allen Lazard,WR,2560787,14
2022,41,Christian Kirk,WR,2560781,11
2022,42,DeAndre Hopkins,WR,2540165,13
2022,43,Robert Woods,WR,2540169,6
2022,44,Kadarius Toney,WR,2566376,9
2022,45,Treylon Burks,WR,2567643,6
2022,46,Chris Olave,WR,2567973,14
2022,47,Chase Claypool,WR,2564970,9
2022,48,Skyy Moore,WR,2567805,8
2022,49,Russell Gage,WR,2561061,11
2022,50,Tyler Boyd,WR,2555466,10
2022,51,Garrett Wilson,WR,2568048,10
2022,52,Jakobi Meyers,WR,2562492,10
2022,53,Marquez Valdes-Scantling,WR,2560907,8
2022,54,DeVante Parker,WR,2552409,10
2022,55,Jarvis Landry,WR,2543488,14
2022,56,Rondale Moore,WR,2566433,13
2022,57,Kenny Golladay,WR,2558052,9
2022,58,DJ c Jr.,WR,2561018,6
2022,59,Michael Gallup,WR,2560735,9
2022,60,George Pickens,WR,2568159,9
2022,61,Julio Jones,WR,2495454,11
2022,62,Jahan Dotson,WR,2568321,14
2022,63,Corey Davis,WR,2557848,10
2022,64,Robbie Anderson,WR,2556462,13
2022,65,Mecole Hardman,WR,2562580,8
2022,66,Van Jefferson,WR,2564358,7
2022,67,Marvin Jones Jr.,WR,2532884,11
2022,68,Nico Collins,WR,2566127,6
2022,69,Jameson Williams,WR,2567565,6
2022,70,K.J. Osborn,WR,2564574,7
2022,1,Travis Kelce,TE,2540258,8
2022,2,Mark Andrews,TE,2560957,10
2022,3,Kyle Pitts,TE,2565830,14
2022,4,George Kittle,TE,2558266,9
2022,5,Darren Waller,TE,2552408,6
2022,6,Dalton Schultz,TE,2560866,9
2022,7,T.J. Hockenson,TE,2562378,6
2022,8,Dallas Goedert,TE,2560995,7
2022,9,Zach Ertz,TE,2540158,13
2022,10,Dawson Knox,TE,2562681,7
2022,11,Pat Freiermuth,TE,2566442,9
2022,12,Cole Kmet,TE,2563704,14
2022,13,Hunter Henry,TE,2555341,10
2022,14,Mike Gesicki,TE,2560994,11
2022,15,Irv Smith Jr.,TE,2562738,7
2022,16,Noah Fant,TE,2562383,11
2022,17,Albert Okwuegbunam,TE,2563911,9
2022,18,Robert Tonyan,TE,2559270,14
2022,19,David Njoku,TE,2557986,9
2022,20,Gerald Everett,TE,2557889,8
2022,21,Tyler Higbee,TE,2555364,7
2022,22,Evan Engram,TE,2557858,11
2022,23,Austin Hooper,TE,2555415,6
2022,24,Logan Thomas,TE,2543767,14
2022,25,Hayden Hurst,TE,2560747,10
