"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","3 out of 5 stars","0"
"2",1,"Justin Herbert",LAC,"8","3 out of 5 stars","+1"
"3",1,"Patrick Mahomes II",KC,"8","2 out of 5 stars","-1"
"4",1,"Lamar Jackson",BAL,"10","2 out of 5 stars","0"
"5",2,"Kyler Murray",ARI,"13","2 out of 5 stars","0"
"6",2,"Jalen Hurts",PHI,"7","4 out of 5 stars","+1"
"7",2,"Joe Burrow",CIN,"10","2 out of 5 stars","-1"
"8",2,"Tom Brady",TB,"11","3 out of 5 stars","+1"
"9",3,"Russell Wilson",DEN,"9","4 out of 5 stars","+2"
"10",3,"Dak Prescott",DAL,"9","3 out of 5 stars","-2"
"11",3,"Trey Lance",SF,"9","3 out of 5 stars","+2"
"12",3,"Matthew Stafford",LAR,"7","3 out of 5 stars","0"
"13",3,"Aaron Rodgers",GB,"14","2 out of 5 stars","-3"
"14",3,"Kirk Cousins",MIN,"7","3 out of 5 stars","+1"
"15",3,"Derek Carr",LV,"6","2 out of 5 stars","-1"
"16",4,"Tua Tagovailoa",MIA,"11","2 out of 5 stars","0"
"17",4,"Justin Fields",CHI,"14","4 out of 5 stars","0"
"18",4,"Trevor Lawrence",JAC,"11","5 out of 5 stars","+1"
"19",4,"Jameis Winston",NO,"14","3 out of 5 stars","+4"
"20",4,"Matt Ryan",IND,"14","3 out of 5 stars","+2"
"21",4,"Ryan Tannehill",TEN,"6","4 out of 5 stars","-3"
"22",4,"Daniel Jones",NYG,"9","5 out of 5 stars","+6"
"23",4,"Mac Jones",NE,"10","4 out of 5 stars","-3"
"24",4,"Carson Wentz",WAS,"14","4 out of 5 stars","0"
"25",4,"Jared Goff",DET,"6","3 out of 5 stars","+1"
"26",4,"Zach Wilson",NYJ,"10","1 out of 5 stars","+1"
"27",4,"Baker Mayfield",CAR,"13","3 out of 5 stars","-2"
"28",4,"Davis Mills",HOU,"6","4 out of 5 stars","+2"
"29",5,"Marcus Mariota",ATL,"14","3 out of 5 stars","+4"
"30",5,"Mitch Trubisky",PIT,"9","3 out of 5 stars","+4"
"31",5,"Deshaun Watson",CLE,"9","4 out of 5 stars","-10"
"32",5,"Drew Lock",SEA,"11","3 out of 5 stars","+3"
"33",5,"Kenny Pickett",PIT,"9","3 out of 5 stars","-2"
"34",5,"Jimmy Garoppolo",SF,"9","3 out of 5 stars","-2"
"35",5,"Sam Darnold",CAR,"13","3 out of 5 stars","+4"
"36",5,"Jacoby Brissett",CLE,"9","4 out of 5 stars","+2"
"37",6,"Geno Smith",SEA,"11","3 out of 5 stars","0"
"38",6,"Desmond Ridder",ATL,"14","3 out of 5 stars","+2"
"39",6,"Malik Willis",TEN,"6","4 out of 5 stars","-3"
"40",6,"Teddy Bridgewater",MIA,"11","2 out of 5 stars","-"
"41",6,"Taysom Hill",NO,"14","3 out of 5 stars","-12"
"42",6,"Tyrod Taylor",NYG,"9","5 out of 5 stars","-"
"43",6,"Matt Corral",CAR,"13","3 out of 5 stars","0"
"44",6,"Gardner Minshew II",PHI,"7","4 out of 5 stars","0"
"45",6,"Tyler Huntley",BAL,"10","2 out of 5 stars","-3"
"46",6,"Sam Howell",WAS,"14","4 out of 5 stars","-"
"47",7,"Andy Dalton",NO,"14","3 out of 5 stars","-"
"48",7,"Taylor Heinicke",WAS,"14","4 out of 5 stars","-"
"49",7,"Jordan Love",GB,"14","2 out of 5 stars","-8"
"50",7,"Joe Flacco",NYJ,"10","1 out of 5 stars","-"
"51",7,"Case Keenum",BUF,"7","3 out of 5 stars","-"
"52",7,"Kyle Trask",TB,"11","3 out of 5 stars","-"
"53",7,"Mason Rudolph",PIT,"9","3 out of 5 stars","-"
"54",7,"Colt McCoy",ARI,"13","2 out of 5 stars","-"
"55",7,"Brandon Allen",CIN,"10","2 out of 5 stars","-"
"56",7,"Mike White",NYJ,"10","1 out of 5 stars","-"
"57",7,"Chad Henne",KC,"8","2 out of 5 stars","-"
"58",7,"John Wolford",LAR,"7","3 out of 5 stars","-"
"59",7,"Nick Foles",IND,"14","3 out of 5 stars","-"
"60",7,"Kellen Mond",MIN,"7","3 out of 5 stars","-"
"61",7,"C.J. Beathard",JAC,"11","5 out of 5 stars","-"
"62",8,"Kyle Allen",HOU,"6","4 out of 5 stars","-"
"63",8,"Cam Newton",FA,"-","-","-"
"64",8,"Cooper Rush",DAL,"9","3 out of 5 stars","-"
"65",8,"Tim Boyle",DET,"6","3 out of 5 stars","-"
"66",8,"Blaine Gabbert",TB,"11","3 out of 5 stars","-"
"67",8,"Trevor Siemian",CHI,"14","4 out of 5 stars","-"
"68",8,"Nick Mullens",LV,"6","2 out of 5 stars","-"
"69",8,"Chase Daniel",LAC,"8","3 out of 5 stars","-"
"70",8,"Carson Strong",PHI,"7","4 out of 5 stars","-"
"71",8,"Brian Hoyer",NE,"10","4 out of 5 stars","-"
"72",8,"Sean Mannion",MIN,"7","3 out of 5 stars","-"
"73",8,"Bailey Zappe",NE,"10","4 out of 5 stars","-"
"74",8,"PJ Walker",CAR,"13","3 out of 5 stars","-"
"75",8,"Joshua Dobbs",CLE,"9","4 out of 5 stars","-"
"76",8,"Josh Johnson",DEN,"9","4 out of 5 stars","-"
"77",8,"Brett Rypien",DEN,"9","4 out of 5 stars","-"
"78",8,"Jarrett Stidham",LV,"6","2 out of 5 stars","-"
"79",8,"Josh Rosen",CLE,"9","4 out of 5 stars","-"
"80",8,"Sam Ehlinger",IND,"14","3 out of 5 stars","-"
"81",8,"Logan Woodside",TEN,"6","4 out of 5 stars","-"
"82",9,"Nate Sudfeld",SF,"9","3 out of 5 stars","-"
"83",9,"Will Grier",DAL,"9","3 out of 5 stars","-"
"84",9,"Jack Coan",IND,"14","3 out of 5 stars","-"
"85",9,"Ian Book",NO,"14","3 out of 5 stars","-"
"86",9,"Jake Browning",CIN,"10","2 out of 5 stars","-"
"87",9,"Matt Barkley",BUF,"7","3 out of 5 stars","-"
"88",9,"Jarrett Guarantano",ARI,"13","2 out of 5 stars","-"
"89",9,"Brock Purdy",SF,"9","3 out of 5 stars","-"
"90",9,"Danny Etling",GB,"14","2 out of 5 stars","-"
"91",9,"Dustin Crum",KC,"8","2 out of 5 stars","-"
"92",9,"John Lovett",MIA,"11","2 out of 5 stars","-"
"93",9,"Shane Buechele",KC,"8","2 out of 5 stars","-"
"94",9,"Easton Stick",LAC,"8","3 out of 5 stars","-"
"95",9,"Ben DiNucci",DAL,"9","3 out of 5 stars","-"
"96",9,"Trace McSorley",ARI,"13","2 out of 5 stars","-"
"97",9,"David Blough",DET,"6","3 out of 5 stars","-"
"98",9,"Bryce Perkins",LAR,"7","3 out of 5 stars","-"
"99",9,"Reid Sinnett",PHI,"7","4 out of 5 stars","-"
"100",9,"Nathan Peterman",CHI,"14","4 out of 5 stars","-"
"101",9,"Skylar Thompson",MIA,"11","2 out of 5 stars","-"
