"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"14","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",CAR,"13","3 out of 5 stars","+2"
"3",1,"Austin Ekeler",LAC,"8","2 out of 5 stars","-1"
"4",2,"Derrick Henry",TEN,"6","4 out of 5 stars","-1"
"5",2,"Dalvin Cook",MIN,"7","4 out of 5 stars","0"
"6",2,"Najee Harris",PIT,"9","3 out of 5 stars","0"
"7",2,"Joe Mixon",CIN,"10","3 out of 5 stars","0"
"8",2,"D'Andre Swift",DET,"6","4 out of 5 stars","+3"
"9",3,"Nick Chubb",CLE,"9","3 out of 5 stars","-1"
"10",3,"Aaron Jones",GB,"14","3 out of 5 stars","+2"
"11",3,"Leonard Fournette",TB,"11","2 out of 5 stars","+2"
"12",3,"Alvin Kamara",NO,"14","3 out of 5 stars","-2"
"13",3,"Javonte Williams",DEN,"9","3 out of 5 stars","-4"
"14",3,"Saquon Barkley",NYG,"9","3 out of 5 stars","0"
"15",3,"James Conner",ARI,"13","2 out of 5 stars","+5"
"16",4,"David Montgomery",CHI,"14","5 out of 5 stars","0"
"17",4,"Ezekiel Elliott",DAL,"9","4 out of 5 stars","0"
"18",4,"Cam Akers",LAR,"7","2 out of 5 stars","0"
"19",4,"Antonio Gibson",WAS,"14","4 out of 5 stars","-4"
"20",4,"Breece Hall",NYJ,"10","4 out of 5 stars","+7"
"21",4,"J.K. Dobbins",BAL,"10","4 out of 5 stars","+1"
"22",4,"Josh Jacobs",LV,"6","2 out of 5 stars","-3"
"23",4,"Travis Etienne Jr.",JAC,"11","3 out of 5 stars","0"
"24",4,"Elijah Mitchell",SF,"9","2 out of 5 stars","-3"
"25",4,"AJ Dillon",GB,"14","3 out of 5 stars","+1"
"26",5,"Miles Sanders",PHI,"7","3 out of 5 stars","+2"
"27",5,"Damien Harris",NE,"10","4 out of 5 stars","-3"
"28",5,"Clyde Edwards-Helaire",KC,"8","3 out of 5 stars","-3"
"29",5,"Kareem Hunt",CLE,"9","3 out of 5 stars","+1"
"30",5,"Tony Pollard",DAL,"9","4 out of 5 stars","+4"
"31",5,"Devin Singletary",BUF,"7","4 out of 5 stars","-2"
"32",5,"Chase Edmonds",MIA,"11","4 out of 5 stars","+3"
"33",5,"Rashaad Penny",SEA,"11","2 out of 5 stars","-2"
"34",5,"Ken Walker III",SEA,"11","2 out of 5 stars","+2"
"35",5,"Melvin Gordon III",DEN,"9","3 out of 5 stars","-3"
"36",5,"Cordarrelle Patterson",ATL,"14","1 out of 5 stars","+6"
"37",5,"Rhamondre Stevenson",NE,"10","4 out of 5 stars","0"
"38",6,"Michael Carter",NYJ,"10","4 out of 5 stars","-5"
"39",6,"Ronald Jones II",KC,"8","3 out of 5 stars","+1"
"40",6,"James Cook",BUF,"7","4 out of 5 stars","+4"
"41",6,"Alexander Mattison",MIN,"7","4 out of 5 stars","-3"
"42",6,"Darrell Henderson Jr.",LAR,"7","2 out of 5 stars","-1"
"43",6,"James Robinson",JAC,"11","3 out of 5 stars","-4"
"44",6,"Nyheim Hines",IND,"14","3 out of 5 stars","+3"
"45",6,"J.D. McKissic",WAS,"14","4 out of 5 stars","+1"
"46",6,"Raheem Mostert",MIA,"11","4 out of 5 stars","-1"
"47",6,"Isaiah Spiller",LAC,"8","2 out of 5 stars","+1"
"48",6,"Jamaal Williams",DET,"6","4 out of 5 stars","+3"
"49",6,"Kenneth Gainwell",PHI,"7","3 out of 5 stars","+1"
"50",6,"Gus Edwards",BAL,"10","4 out of 5 stars","+2"
"51",6,"Dameon Pierce",HOU,"6","3 out of 5 stars","+5"
"52",6,"Sony Michel",MIA,"11","4 out of 5 stars","+2"
"53",7,"Khalil Herbert",CHI,"14","5 out of 5 stars","+5"
"54",7,"Marlon Mack",HOU,"6","3 out of 5 stars","-5"
"55",7,"Darrel Williams",ARI,"13","2 out of 5 stars","0"
"56",7,"Tyler Allgeier",ATL,"14","1 out of 5 stars","+4"
"57",7,"D'Onta Foreman",CAR,"13","3 out of 5 stars","+5"
"58",7,"Mark Ingram II",NO,"14","3 out of 5 stars","+3"
"59",7,"James White",NE,"10","4 out of 5 stars","+15"
"60",7,"Rachaad White",TB,"11","2 out of 5 stars","-3"
"61",7,"Kenyan Drake",LV,"6","2 out of 5 stars","+3"
"62",7,"Chuba Hubbard",CAR,"13","3 out of 5 stars","-9"
"63",7,"Myles Gaskin",MIA,"11","4 out of 5 stars","+4"
"64",7,"Boston Scott",PHI,"7","3 out of 5 stars","+20"
"65",7,"Damien Williams",ATL,"14","1 out of 5 stars","+13"
"66",7,"Samaje Perine",CIN,"10","3 out of 5 stars","+6"
"67",7,"Trey Sermon",SF,"9","2 out of 5 stars","-8"
"68",7,"Brian Robinson Jr.",WAS,"14","4 out of 5 stars","-2"
"69",7,"Chris Carson",SEA,"11","2 out of 5 stars","-26"
"70",7,"D'Ernest Johnson",CLE,"9","3 out of 5 stars","+1"
"71",7,"Zamir White",LV,"6","2 out of 5 stars","+5"
"72",7,"Zack Moss",BUF,"7","4 out of 5 stars","+15"
"73",8,"Jeff Wilson Jr.",SF,"9","2 out of 5 stars","-"
"74",8,"Mike Davis",BAL,"10","4 out of 5 stars","+1"
"75",8,"Jerick McKinnon",KC,"8","3 out of 5 stars","-10"
"76",8,"Ke'Shawn Vaughn",TB,"11","2 out of 5 stars","+1"
"77",8,"Phillip Lindsay",IND,"14","3 out of 5 stars","-"
"78",8,"Ty Johnson",NYJ,"10","4 out of 5 stars","+18"
"79",8,"Rex Burkhead",HOU,"6","3 out of 5 stars","+13"
"80",8,"Matt Breida",NYG,"9","3 out of 5 stars","-1"
"81",8,"Tyrion Davis-Price",SF,"9","2 out of 5 stars","-13"
"82",8,"Darrynton Evans",CHI,"14","5 out of 5 stars","-"
"83",8,"Justin Jackson",FA,"-","-","-"
"84",8,"Salvon Ahmed",MIA,"11","4 out of 5 stars","-"
"85",8,"David Johnson",FA,"-","-","-4"
"86",8,"Kyren Williams",LAR,"7","2 out of 5 stars","-"
"87",8,"Joshua Kelley",LAC,"8","2 out of 5 stars","-"
"88",8,"Duke Johnson Jr.",BUF,"7","4 out of 5 stars","-8"
"89",8,"Hassan Haskins",TEN,"6","4 out of 5 stars","-26"
"90",8,"Giovani Bernard",TB,"11","2 out of 5 stars","+3"
"91",8,"Tevin Coleman",NYJ,"10","4 out of 5 stars","+4"
"92",8,"Pierre Strong Jr.",NE,"10","4 out of 5 stars","-"
"93",9,"Jaret Patterson",WAS,"14","4 out of 5 stars","-"
"94",9,"Latavius Murray",FA,"-","-","-4"
"95",9,"Devontae Booker",FA,"-","-","-9"
"96",9,"Jerome Ford",CLE,"9","3 out of 5 stars","-"
"97",9,"Malcolm Brown",FA,"-","-","-"
"98",9,"Eno Benjamin",ARI,"13","2 out of 5 stars","-29"
"99",9,"Devonta Freeman",FA,"-","-","-11"
"100",9,"Wayne Gallman Jr.",FA,"-","-","-"
"101",9,"Chris Evans",CIN,"10","3 out of 5 stars","-31"
"102",9,"Tarik Cohen",FA,"-","-","-"
"103",9,"Tyler Badie",BAL,"10","4 out of 5 stars","-6"
"104",9,"Derrick Gore",KC,"8","3 out of 5 stars","-"
"105",9,"Dontrell Hilliard",TEN,"6","4 out of 5 stars","-14"
"106",9,"Keaontay Ingram",ARI,"13","2 out of 5 stars","-33"
