"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Travis Kelce",KC,"8","3 out of 5 stars","0"
"2",1,"Mark Andrews",BAL,"10","2 out of 5 stars","0"
"3",1,"Kyle Pitts",ATL,"14","2 out of 5 stars","0"
"4",1,"George Kittle",SF,"9","4 out of 5 stars","0"
"5",1,"Darren Waller",LV,"6","2 out of 5 stars","0"
"6",2,"Dalton Schultz",DAL,"9","3 out of 5 stars","+1"
"7",2,"T.J. Hockenson",DET,"6","4 out of 5 stars","-1"
"8",2,"Dallas Goedert",PHI,"7","2 out of 5 stars","0"
"9",2,"Zach Ertz",ARI,"13","3 out of 5 stars","+2"
"10",2,"Dawson Knox",BUF,"7","3 out of 5 stars","-1"
"11",3,"Pat Freiermuth",PIT,"9","4 out of 5 stars","-1"
"12",3,"Mike Gesicki",MIA,"11","3 out of 5 stars","0"
"13",3,"Cole Kmet",CHI,"14","5 out of 5 stars","+2"
"14",3,"Hunter Henry",NE,"10","4 out of 5 stars","+3"
"15",3,"Noah Fant",SEA,"11","2 out of 5 stars","-1"
"16",3,"Robert Tonyan",GB,"14","1 out of 5 stars","-3"
"17",3,"Logan Thomas",WAS,"14","4 out of 5 stars","+3"
"18",3,"Tyler Higbee",LAR,"7","3 out of 5 stars","+3"
"19",3,"Gerald Everett",LAC,"8","4 out of 5 stars","+4"
"20",3,"Irv Smith Jr.",MIN,"7","3 out of 5 stars","-1"
"21",4,"Evan Engram",JAC,"11","4 out of 5 stars","+1"
"22",4,"Albert Okwuegbunam",DEN,"9","3 out of 5 stars","-4"
"23",4,"Austin Hooper",TEN,"6","5 out of 5 stars","+6"
"24",4,"David Njoku",CLE,"9","4 out of 5 stars","-8"
"25",4,"Hayden Hurst",CIN,"10","2 out of 5 stars","+2"
"26",4,"Jonnu Smith",NE,"10","4 out of 5 stars","+12"
"27",4,"Adam Trautman",NO,"14","4 out of 5 stars","+1"
"28",4,"Dan Arnold",JAC,"11","4 out of 5 stars","+8"
"29",4,"Brevin Jordan",HOU,"6","3 out of 5 stars","+1"
"30",4,"O.J. Howard",BUF,"7","3 out of 5 stars","-5"
"31",4,"C.J. Uzomah",NYJ,"10","3 out of 5 stars","-7"
"32",5,"Trey McBride",ARI,"13","3 out of 5 stars","0"
"33",5,"Mo Alie-Cox",IND,"14","2 out of 5 stars","-2"
"34",5,"Jared Cook",FA,"-","-","+3"
"35",5,"Cameron Brate",TB,"11","3 out of 5 stars","-9"
"36",5,"Anthony Firkser",ATL,"14","2 out of 5 stars","-"
"37",6,"Tyler Conklin",NYJ,"10","3 out of 5 stars","-3"
"38",6,"Harrison Bryant",CLE,"9","4 out of 5 stars","-"
"39",6,"Ricky Seals-Jones",NYG,"9","4 out of 5 stars","-6"
"40",6,"Tommy Tremble",CAR,"13","3 out of 5 stars","-"
"41",6,"Eric Ebron",FA,"-","-","-"
"42",6,"Jelani Woods",IND,"14","2 out of 5 stars","-"
"43",6,"Greg Dulcich",DEN,"9","3 out of 5 stars","-8"
"44",6,"Donald Parham Jr.",LAC,"8","4 out of 5 stars","-"
"45",6,"Foster Moreau",LV,"6","2 out of 5 stars","-"
"46",6,"Blake Jarwin",FA,"-","-","-"
"47",6,"Josiah Deguara",GB,"14","1 out of 5 stars","-"
"48",6,"Cade Otton",TB,"11","3 out of 5 stars","-"
"49",6,"Jimmy Graham",FA,"-","-","-"
"50",6,"Chris Herndon IV",FA,"-","-","-"
"51",6,"Kylen Granson",IND,"14","2 out of 5 stars","-"
"52",6,"Daniel Bellinger",NYG,"9","4 out of 5 stars","-"
"53",6,"Jeremy Ruckert",NYJ,"10","3 out of 5 stars","-"
"54",6,"John Bates",WAS,"14","4 out of 5 stars","-"
"55",6,"Kyle Rudolph",FA,"-","-","-"
"56",6,"Isaiah Likely",BAL,"10","2 out of 5 stars","-"
"57",6,"Juwan Johnson",NO,"14","4 out of 5 stars","-"
"58",7,"Jake Ferguson",DAL,"9","3 out of 5 stars","-"
"59",7,"Ryan Griffin",CHI,"14","5 out of 5 stars","-"
"60",7,"Jalen Wydermyer",BUF,"7","3 out of 5 stars","-"
"61",7,"Jacob Harris",LAR,"7","3 out of 5 stars","-"
"62",7,"James O'Shaughnessy",CHI,"14","5 out of 5 stars","-"
"63",7,"Ian Thomas",CAR,"13","3 out of 5 stars","-"
"64",7,"Jordan Akins",NYG,"9","4 out of 5 stars","-"
"65",7,"Tre' McKitty",LAC,"8","4 out of 5 stars","-"
"66",7,"Chigoziem Okonkwo",TEN,"6","5 out of 5 stars","-"
"67",7,"Will Dissly",SEA,"11","2 out of 5 stars","-"
"68",7,"Charlie Kolar",BAL,"10","2 out of 5 stars","-"
"69",7,"Maxx Williams",ARI,"13","3 out of 5 stars","-"
"70",7,"Geoff Swaim",TEN,"6","5 out of 5 stars","-"
"71",7,"Pharaoh Brown",HOU,"6","3 out of 5 stars","-"
"72",7,"Drew Sample",CIN,"10","2 out of 5 stars","-"
"73",7,"Durham Smythe",MIA,"11","3 out of 5 stars","-"
"74",7,"Hunter Long",MIA,"11","3 out of 5 stars","-"
"75",7,"Brock Wright",DET,"6","4 out of 5 stars","-"
"76",7,"Noah Gray",KC,"8","3 out of 5 stars","-"
"77",8,"Nick Boyle",BAL,"10","2 out of 5 stars","-"
"78",8,"Marcedes Lewis",GB,"14","1 out of 5 stars","-"
"79",8,"James Mitchell",DET,"6","4 out of 5 stars","-"
"80",8,"Tyler Kroft",SF,"9","4 out of 5 stars","-"
"81",8,"Blake Bell",KC,"8","3 out of 5 stars","-"
"82",8,"Zach Gentry",PIT,"9","4 out of 5 stars","-"
"83",8,"Ross Dwelley",SF,"9","4 out of 5 stars","-"
"84",8,"Adam Shaheen",MIA,"11","3 out of 5 stars","-"
"85",8,"Grant Calcaterra",PHI,"7","2 out of 5 stars","-"
"86",8,"Nick Vannett",NO,"14","4 out of 5 stars","-"
"87",8,"Cole Turner",WAS,"14","4 out of 5 stars","-"
"88",8,"Brycen Hopkins",LAR,"7","3 out of 5 stars","-"
"89",8,"Chris Manhertz",JAC,"11","4 out of 5 stars","-"
"90",8,"Jacob Hollister",LV,"6","2 out of 5 stars","-"
"91",8,"Johnny Mundt",MIN,"7","3 out of 5 stars","-"
"92",8,"Mitchell Wilcox",CIN,"10","2 out of 5 stars","-"
"93",9,"Trevon Wesco",NYJ,"10","3 out of 5 stars","-"
"94",9,"Ben Ellefson",MIN,"7","3 out of 5 stars","-"
"95",9,"Antony Auclair",HOU,"6","3 out of 5 stars","-"
"96",9,"Shane Zylstra",DET,"6","4 out of 5 stars","-"
"97",9,"Parker Hesse",ATL,"14","2 out of 5 stars","-"
"98",9,"Kendall Blanton",LAR,"7","3 out of 5 stars","-"
"99",9,"Miller Forristall",CLE,"9","4 out of 5 stars","-"
"100",9,"Chris Myarick",NYG,"9","4 out of 5 stars","-"
"101",9,"Tyree Jackson",PHI,"7","2 out of 5 stars","-"
"102",9,"Jeremy Sprinkle",DAL,"9","3 out of 5 stars","-"
"103",9,"Ko Kieft",TB,"11","3 out of 5 stars","-"
"104",9,"Dominique Dafney",GB,"14","1 out of 5 stars","-"
"105",9,"Josh Oliver",BAL,"10","2 out of 5 stars","-"
"106",9,"Sammis Reyes",WAS,"14","4 out of 5 stars","-"
"107",9,"Zach Davidson",MIN,"7","3 out of 5 stars","-"
"108",9,"Charlie Woerner",SF,"9","4 out of 5 stars","-"
"109",9,"Colby Parkinson",SEA,"11","2 out of 5 stars","-"
"110",9,"Jack Stoll",PHI,"7","2 out of 5 stars","-"
"111",9,"Kevin Rader",PIT,"9","4 out of 5 stars","-"
"112",9,"Sean McKeon",DAL,"9","3 out of 5 stars","-"
