year,rank,name,position,player_id,bye_week
2022,1,Justin Jefferson,WR,2564556,7
2022,2,Cooper Kupp,WR,2557898,7
2022,3,Ja'Marr Chase,WR,2565941,10
2022,4,Stefon Diggs,WR,2552608,7
2022,5,Davante Adams,WR,2543495,6
2022,6,CeeDee Lamb,WR,2563848,9
2022,7,Deebo Samuel,WR,2562721,9
2022,8,Mike Evans,WR,2543468,11
2022,9,Tyreek Hill,WR,2556214,11
2022,10,A.J. Brown,WR,2562238,7
2022,11,Keenan Allen,WR,2540154,8
2022,12,Tee Higgins,WR,2563731,10
2022,13,Michael Pittman Jr.,WR,???,14
2022,14,DJ Moore,WR,???,13
2022,15,Diontae Johnson,WR,2562674,9
2022,16,Jaylen Waddle,WR,2566292,11
2022,17,Mike Williams,WR,???,8
2022,18,Courtland Sutton,WR,2560888,9
2022,19,Terry McLaurin,WR,2562489,14
2022,20,Brandin Cooks,WR,2543498,6
2022,21,DK Metcalf,WR,2562685,11
2022,22,Allen Robinson II,WR,???,7
2022,23,Marquise Brown,WR,2562379,13
2022,24,Darnell Mooney,WR,2563707,14
2022,25,Jerry Jeudy,WR,2563896,9
2022,26,Michael Thomas,WR,2556370,14
2022,27,Amari Cooper,WR,2552487,9
2022,28,Rashod Bateman,WR,2565836,10
2022,29,Chris Godwin,WR,2558105,11
2022,30,Gabriel Davis,WR,2563602,7
2022,31,Amon-Ra St. Brown,WR,???,6
2022,32,JuJu Smith-Schuster,WR,2558149,8
2022,33,Elijah Moore,WR,2566385,10
2022,34,Adam Thielen,WR,2541785,7
2022,35,Brandon Aiyuk,WR,2565093,9
2022,36,DeVonta Smith,WR,2566409,7
2022,37,Drake London,WR,2567250,14
2022,38,Hunter Renfrow,WR,2562712,6
2022,39,Tyler Lockett,WR,2552430,11
2022,40,Allen Lazard,WR,2560787,14
2022,41,Christian Kirk,WR,2560781,11
2022,42,DeAndre Hopkins,WR,2540165,13
2022,43,Robert Woods,WR,2540169,6
2022,44,Kadarius Toney,WR,2566376,9
2022,45,Treylon Burks,WR,2567643,6
2022,46,Chris Olave,WR,2567973,14
2022,47,Chase Claypool,WR,2564970,9
2022,48,Skyy Moore,WR,2567805,8
2022,49,Russell Gage,WR,2561061,11
2022,50,Tyler Boyd,WR,2555466,10
2022,51,Garrett Wilson,WR,2568048,10
2022,52,Jakobi Meyers,WR,2562492,10
2022,53,Marquez Valdes-Scantling,WR,2560907,8
2022,54,DeVante Parker,WR,2552409,10
2022,55,Jarvis Landry,WR,2543488,14
2022,56,Rondale Moore,WR,2566433,13
2022,57,Kenny Golladay,WR,2558052,9
2022,58,DJ Chark Jr.,WR,???,6
2022,59,Michael Gallup,WR,2560735,9
2022,60,George Pickens,WR,2568159,9
2022,61,Julio Jones,WR,2495454,11
2022,62,Jahan Dotson,WR,2568321,14
2022,63,Corey Davis,WR,2557848,10
2022,64,Robbie Anderson,WR,???,13
2022,65,Mecole Hardman,WR,2562580,8
2022,66,Van Jefferson,WR,2564358,7
2022,67,Marvin Jones Jr.,WR,???,11
2022,68,Nico Collins,WR,2566127,6
2022,69,Jameson Williams,WR,2567565,6
2022,70,K.J. Osborn,WR,???,7
2022,71,Joshua Palmer,WR,???,8
2022,72,Christian Watson,WR,2567637,14
2022,73,Jamison Crowder,WR,2552415,7
2022,74,Donovan Peoples-Jones,WR,2563803,9
2022,75,Kendrick Bourne,WR,2558914,10
2022,76,Curtis Samuel,WR,2558066,14
2022,77,Wan'Dale Robinson,WR,???,9
2022,78,Parris Campbell,WR,2562495,14
2022,79,KJ Hamler,WR,???,9
2022,80,A.J. Green,WR,2495450,13
2022,81,Jalen Tolbert,WR,2567508,9
2022,82,Sterling Shepard,WR,2555295,9
2022,83,David Bell,WR,2567460,9
2022,84,Laviska Shenault Jr.,WR,???,11
2022,85,Isaiah McKenzie,WR,???,7
2022,86,Byron Pringle,WR,???,14
2022,87,Terrace Marshall Jr.,WR,???,13
2022,88,Alec Pierce,WR,2567715,14
2022,89,Zay Jones,WR,2557863,11
2022,90,Braxton Berrios,WR,2560975,10
2022,91,Randall Cobb,WR,2495448,14
2022,92,Bryan Edwards,WR,2564418,14
2022,93,Cedrick Wilson Jr.,WR,???,11
2022,94,Marquez Callaway,WR,2565310,14
2022,95,Romeo Doubs,WR,2567586,14
2022,96,Nelson Agholor,WR,2552600,10
2022,97,William Fuller V,WR,???,-
2022,98,Sammy Watkins,WR,2543457,14
2022,99,Odell Beckham Jr.,WR,???,-
2022,100,Tre'Quan Smith,WR,2560878,14
2022,101,Quez Watkins,WR,???,7
2022,102,Josh Reynolds,WR,2558194,6
2022,103,Darius Slayton,WR,2562736,9
2022,104,Dyami Brown,WR,???,14
2022,105,Jalen Reagor,WR,2564850,7
2022,106,Quintez Cephus,WR,2563926,6
2022,107,Emmanuel Sanders,WR,497322,-
2022,108,Velus Jones Jr.,WR,???,14
2022,109,Cole Beasley,WR,2535698,-
2022,110,Devin Duvernay,WR,???,10
2022,111,Nick Westbrook-Ikhine,WR,???,6
2022,112,Tyquan Thornton,WR,2567958,10
2022,113,T.Y. Hilton,WR,2532865,-
2022,114,Jalen Guyton,WR,2562844,8
2022,115,Demarcus Robinson,WR,2555478,-
2022,116,Amari Rodgers,WR,???,14
2022,117,Kyle Philips,WR,???,6
2022,118,James Proche II,WR,???,10
2022,119,James Washington,WR,2560920,9
2022,120,Calvin Austin III,WR,???,9
2022,121,Khalil Shakir,WR,2567334,7
2022,122,Danny Gray,WR,???,9
2022,123,Tyler Johnson,WR,???,11
