profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost,position
234,2008,16,0,0,0,0,0,316,1238,8,477,63,4,1,RB
234,2009,16,0,0,0,0,0,258,929,4,471,57,0,6,RB
234,2010,16,0,0,0,0,0,237,1069,6,547,51,3,3,RB
234,2011,12,0,0,0,0,0,203,997,3,490,52,1,2,RB
234,2012,15,0,0,0,0,0,248,1094,5,340,44,1,2,RB
234,2013,16,0,0,0,0,0,289,1339,9,594,74,3,2,RB
234,2014,16,0,0,0,0,0,266,1038,6,808,102,4,2,RB
234,2015,13,0,0,0,0,0,218,898,4,389,44,3,2,RB
234,2016,14,0,0,0,0,0,218,813,7,263,30,1,1,RB
234,2017,12,0,0,0,0,0,103,381,2,293,37,1,1,RB
262,2008,15,0,0,0,0,0,251,1228,9,260,43,1,1,RB
262,2009,16,0,0,0,0,0,358,2006,14,503,50,2,3,RB
262,2010,16,0,0,0,0,0,316,1364,11,245,44,1,3,RB
262,2011,16,0,0,0,0,0,262,1047,4,418,57,0,3,RB
262,2012,16,0,0,0,0,0,276,1243,6,232,36,0,5,RB
262,2013,16,0,0,0,0,0,279,1077,6,345,42,4,3,RB
262,2014,16,0,0,0,0,0,155,663,1,151,24,1,1,RB
262,2015,11,0,0,0,0,0,196,814,3,58,6,0,2,RB
262,2016,4,0,0,0,0,0,25,95,1,0,0,0,0,RB
262,2017,4,0,0,0,0,0,45,114,0,43,5,0,0,RB
284,2008,13,0,0,0,0,0,113,499,4,285,29,0,3,RB
284,2009,12,0,0,0,0,0,104,357,1,245,21,0,5,RB
284,2010,13,0,0,0,0,0,223,1157,7,507,47,3,4,RB
284,2011,7,0,0,0,0,0,113,614,4,154,19,1,1,RB
284,2012,12,0,0,0,0,0,216,707,2,258,42,1,2,RB
284,2013,10,0,0,0,0,0,114,379,5,108,17,0,1,RB
284,2014,16,0,0,0,0,0,155,534,2,212,36,0,1,RB
284,2015,16,0,0,0,0,0,239,1089,3,328,40,0,3,RB
284,2016,3,0,0,0,0,0,24,87,0,17,3,0,0,RB
